# 词	编码	人工权重	分类	类型	实体	来源	核对日期
Neutralinojs	neutralinojs	40	前端框架	english	Neutralinojs	development-names	2026-09-17
New Relic	newrelic	40	部署运维	english	New Relic	development-names	2026-09-17
Next.js	nextjs	40	前端框架	english	Next.js	development-names	2026-09-17
Nexus	nexus	40	包管理构建	english	Nexus	development-names	2026-09-17
Nginx	nginx	40	部署运维	english	Nginx	development-names	2026-09-17
Nightwatch	nightwatch	40	测试质量	english	Nightwatch	development-names	2026-09-17
Nim	nim	40	语言运行时	english	Nim	development-names	2026-09-17
Nimble	nimble	40	测试质量	english	Nimble	development-names	2026-09-17
Ninja	ninja	40	包管理构建	english	Ninja	development-names	2026-09-17
Nix	nix	40	包管理构建	english	Nix	development-names	2026-09-17
NixOS	nixos	40	包管理构建	english	NixOS	development-names	2026-09-17
Node.js	nodejs	40	语言运行时	english	Node.js	development-names	2026-09-17
NotificationCenter	notificationcenter	40	桌面移动	english	NotificationCenter	development-names	2026-09-17
Nox	nox	40	测试质量	english	Nox	development-names	2026-09-17
NuGet	nuget	40	包管理构建	english	NuGet	development-names	2026-09-17
NuGet.Config	nugetconfig	40	文件配置	english	NuGet.Config	development-names	2026-09-17
Numba	numba	40	语言运行时	english	Numba	development-names	2026-09-17
Nuxt	nuxt	40	前端框架	english	Nuxt	development-names	2026-09-17
Nx	nx	40	包管理构建	english	Nx	development-names	2026-09-17
OAuth	oauth	40	接口协议	english	OAuth	development-names	2026-09-17
OAuth2	oauth2	40	接口协议	english	OAuth2	development-names	2026-09-17
OAuth认证	oauthrenzheng	30	中英开发表达	mixed	OAuth认证	curated	2026-09-17
OCaml	ocaml	40	语言运行时	english	OCaml	development-names	2026-09-17
OData	odata	40	接口协议	english	OData	development-names	2026-09-17
OIDC	oidc	40	接口协议	english	OIDC	development-names	2026-09-17
ONNX Runtime	onnxruntime	40	数据检索	english	ONNX Runtime	development-names	2026-09-17
OPQ	opq	40	数据检索	english	OPQ	development-names	2026-09-17
OTel	otel	40	部署运维	english	OTel	development-names	2026-09-17
OVH	ovh	40	部署运维	english	OVH	development-names	2026-09-17
Oban	oban	40	后端框架	english	Oban	development-names	2026-09-17
ObjectBox	objectbox	40	桌面移动	english	ObjectBox	development-names	2026-09-17
Objection.js	objectionjs	40	后端框架	english	Objection.js	development-names	2026-09-17
Objective-C	objectivec	40	语言运行时	english	Objective-C	development-names	2026-09-17
Objective-C++	objectivecpp	40	语言运行时	alias	Objective-C++	development-names	2026-09-17
Observation	observation	40	桌面移动	english	Observation	development-names	2026-09-17
OceanBase	oceanbase	40	数据检索	english	OceanBase	development-names	2026-09-17
OkHttp	okhttp	40	桌面移动	english	OkHttp	development-names	2026-09-17
Ollama	ollama	40	数据检索	english	Ollama	development-names	2026-09-17
OnceLock	oncelock	40	后端框架	english	OnceLock	development-names	2026-09-17
Open WebUI	openwebui	40	数据检索	english	Open WebUI	development-names	2026-09-17
OpenAI Agents SDK	openaiagentssdk	40	编程助手	english	OpenAI Agents SDK	development-names	2026-09-17
OpenAPI	openapi	40	接口协议	english	OpenAPI	development-names	2026-09-17
OpenCode	opencode	40	编程助手	english	OpenCode	development-names	2026-09-17
OpenHands	openhands	40	数据检索	english	OpenHands	development-names	2026-09-17
OpenID Connect	openidconnect	40	接口协议	english	OpenID Connect	development-names	2026-09-17
OpenJDK	openjdk	40	语言运行时	english	OpenJDK	development-names	2026-09-17
OpenRouter	openrouter	40	数据检索	english	OpenRouter	development-names	2026-09-17
OpenTelemetry	opentelemetry	40	部署运维	english	OpenTelemetry	development-names	2026-09-17
OpenTofu	opentofu	40	部署运维	english	OpenTofu	development-names	2026-09-17
OpenVINO	openvino	40	数据检索	english	OpenVINO	development-names	2026-09-17
Opsgenie	opsgenie	40	部署运维	english	Opsgenie	development-names	2026-09-17
Oracle Database	oracledatabase	40	数据检索	english	Oracle Database	development-names	2026-09-17
Oxlint	oxlint	40	测试质量	english	Oxlint	development-names	2026-09-17
P95	p95	40	接口协议	english	P95	development-names	2026-09-17
P99	p99	40	接口协议	english	P99	development-names	2026-09-17
PBKDF2	pbkdf2	40	接口协议	english	PBKDF2	development-names	2026-09-17
PDM	pdm	40	包管理构建	english	PDM	development-names	2026-09-17
PHP	php	40	语言运行时	english	PHP	development-names	2026-09-17
PITest	pitest	40	测试质量	english	PITest	development-names	2026-09-17
PQ	pq	40	数据检索	english	PQ	development-names	2026-09-17
PR	pr	40	版本协作	english	PR	development-names	2026-09-17
PR合并	prhebing	30	中英开发表达	mixed	PR合并	curated	2026-09-17
PR审查	prshencha	30	中英开发表达	mixed	PR审查	curated	2026-09-17
PR描述	prmiaoshu	30	中英开发表达	mixed	PR描述	curated	2026-09-17
PR评论	prpinglun	30	中英开发表达	mixed	PR评论	curated	2026-09-17
PWA	pwa	40	前端框架	english	PWA	development-names	2026-09-17
Pa11y	pa11y	40	测试质量	english	Pa11y	development-names	2026-09-17
Package.resolved	packageresolved	40	文件配置	english	Package.resolved	development-names	2026-09-17
Package.swift	packageswift	40	桌面移动	english	Package.swift	development-names	2026-09-17
Packagist	packagist	40	包管理构建	english	Packagist	development-names	2026-09-17
Packer	packer	40	部署运维	english	Packer	development-names	2026-09-17
PaddleOCR	paddleocr	40	数据检索	english	PaddleOCR	development-names	2026-09-17
PagerDuty	pagerduty	40	部署运维	english	PagerDuty	development-names	2026-09-17
Paket	paket	40	包管理构建	english	Paket	development-names	2026-09-17
Panda CSS	pandacss	40	前端框架	english	Panda CSS	development-names	2026-09-17
Pants	pants	40	包管理构建	english	Pants	development-names	2026-09-17
Parcel	parcel	40	前端框架	english	Parcel	development-names	2026-09-17
Parking Lot	parkinglot	40	后端框架	english	Parking Lot	development-names	2026-09-17
Parquet	parquet	40	语言运行时	english	Parquet	development-names	2026-09-17
Passkey	passkey	40	接口协议	english	Passkey	development-names	2026-09-17
Payload CMS	payloadcms	40	后端框架	english	Payload CMS	development-names	2026-09-17
Pekko	pekko	40	后端框架	english	Pekko	development-names	2026-09-17
Percy	percy	40	测试质量	english	Percy	development-names	2026-09-17
Perl	perl	40	语言运行时	english	Perl	development-names	2026-09-17
Phoenix	phoenix	40	后端框架	english	Phoenix	development-names	2026-09-17
Pinecone	pinecone	40	数据检索	english	Pinecone	development-names	2026-09-17
Pinia	pinia	40	前端框架	english	Pinia	development-names	2026-09-17
Pipfile	pipfile	40	文件配置	english	Pipfile	development-names	2026-09-17
Pipfile.lock	pipfilelock	40	文件配置	english	Pipfile.lock	development-names	2026-09-17
Plan Mode	planmode	40	编程助手	english	Plan Mode	development-names	2026-09-17
Play Framework	playframework	40	后端框架	english	Play Framework	development-names	2026-09-17
Playwright	playwright	40	测试质量	english	Playwright	development-names	2026-09-17
Plotly	plotly	40	前端框架	english	Plotly	development-names	2026-09-17
Plug	plug	40	后端框架	english	Plug	development-names	2026-09-17
Plugin	plugin	40	编程助手	english	Plugin	development-names	2026-09-17
Plugins	plugins	40	编程助手	english	Plugins	development-names	2026-09-17
PocketBase	pocketbase	40	数据检索	english	PocketBase	development-names	2026-09-17
Podfile	podfile	40	文件配置	english	Podfile	development-names	2026-09-17
Podfile.lock	podfilelock	40	文件配置	english	Podfile.lock	development-names	2026-09-17
Podman	podman	40	部署运维	english	Podman	development-names	2026-09-17
Poetry	poetry	40	包管理构建	english	Poetry	development-names	2026-09-17
Portkey	portkey	40	数据检索	english	Portkey	development-names	2026-09-17
PostCSS	postcss	40	前端框架	english	PostCSS	development-names	2026-09-17
PostgreSQL	postgresql	40	数据检索	english	PostgreSQL	development-names	2026-09-17
PostgreSQL向量	postgresqlxiangliang	30	中英开发表达	mixed	PostgreSQL向量	curated	2026-09-17
PostgreSQL扩展	postgresqlkuozhan	30	中英开发表达	mixed	PostgreSQL扩展	curated	2026-09-17
Postgres	postgres	40	数据检索	english	Postgres	development-names	2026-09-17
PowerShell	powershell	40	语言运行时	english	PowerShell	development-names	2026-09-17
Preact	preact	40	前端框架	english	Preact	development-names	2026-09-17
Precision	precision	40	数据检索	english	Precision	development-names	2026-09-17
Prefect	prefect	40	部署运维	english	Prefect	development-names	2026-09-17
Presto	presto	40	部署运维	english	Presto	development-names	2026-09-17
Prettier	prettier	40	测试质量	english	Prettier	development-names	2026-09-17
Prisma	prisma	40	后端框架	english	Prisma	development-names	2026-09-17
PrivacyInfo.xcprivacy	privacyinfoxcprivacy	40	桌面移动	english	PrivacyInfo.xcprivacy	development-names	2026-09-17
Procfile	procfile	40	文件配置	english	Procfile	development-names	2026-09-17
Prometheus	prometheus	40	数据检索	english	Prometheus	development-names	2026-09-17
Prompt	prompt	40	编程助手	english	Prompt	development-names	2026-09-17
Prompt Engineering	promptengineering	40	编程助手	english	Prompt Engineering	development-names	2026-09-17
Prompt Injection	promptinjection	40	编程助手	english	Prompt Injection	development-names	2026-09-17
Proptest	proptest	40	测试质量	english	Proptest	development-names	2026-09-17
ProseMirror	prosemirror	40	前端框架	english	ProseMirror	development-names	2026-09-17
Protobuf	protobuf	40	语言运行时	english	Protobuf	development-names	2026-09-17
Protocol Buffers	protocolbuffers	40	语言运行时	english	Protocol Buffers	development-names	2026-09-17
Provider	provider	40	桌面移动	english	Provider	development-names	2026-09-17
Pull Request	pullrequest	40	版本协作	english	Pull Request	development-names	2026-09-17
Pulsar	pulsar	40	部署运维	english	Pulsar	development-names	2026-09-17
Pulumi	pulumi	40	部署运维	english	Pulumi	development-names	2026-09-17
Puppet	puppet	40	部署运维	english	Puppet	development-names	2026-09-17
Puppeteer	puppeteer	40	测试质量	english	Puppeteer	development-names	2026-09-17
PyMuPDF	pymupdf	40	数据检索	english	PyMuPDF	development-names	2026-09-17
PyO3	pyo3	40	语言运行时	english	PyO3	development-names	2026-09-17
PyPI	pypi	40	包管理构建	english	PyPI	development-names	2026-09-17
PyPy	pypy	40	语言运行时	english	PyPy	development-names	2026-09-17
Pydantic	pydantic	40	后端框架	english	Pydantic	development-names	2026-09-17
Pydantic AI	pydanticai	40	数据检索	english	Pydantic AI	development-names	2026-09-17
Pylint	pylint	40	包管理构建	english	Pylint	development-names	2026-09-17
Pyright	pyright	40	包管理构建	english	Pyright	development-names	2026-09-17
Python	python	40	语言运行时	english	Python	development-names	2026-09-17
Python依赖	pythonyilai	30	中英开发表达	mixed	Python依赖	curated	2026-09-17
Python环境	pythonhuanjing	30	中英开发表达	mixed	Python环境	curated	2026-09-17
Python脚本	pythonjiaoben	30	中英开发表达	mixed	Python脚本	curated	2026-09-17
QML	qml	40	桌面移动	english	QML	development-names	2026-09-17
QUIC	quic	40	接口协议	english	QUIC	development-names	2026-09-17
QUnit	qunit	40	测试质量	english	QUnit	development-names	2026-09-17
Qt	qt	40	桌面移动	english	Qt	development-names	2026-09-17
Quarkus	quarkus	40	后端框架	english	Quarkus	development-names	2026-09-17
Quasar	quasar	40	前端框架	english	Quasar	development-names	2026-09-17
QuestDB	questdb	40	数据检索	english	QuestDB	development-names	2026-09-17
Quick	quick	40	测试质量	english	Quick	development-names	2026-09-17
QuickCheck	quickcheck	40	测试质量	english	QuickCheck	development-names	2026-09-17
Quill	quill	40	前端框架	english	Quill	development-names	2026-09-17
Qwik	qwik	40	前端框架	english	Qwik	development-names	2026-09-17
R	r	40	语言运行时	english	R	development-names	2026-09-17
R2	r2	40	部署运维	english	R2	development-names	2026-09-17
RAGFlow	ragflow	40	数据检索	english	RAGFlow	development-names	2026-09-17
RAG检索	ragjiansuo	30	中英开发表达	mixed	RAG检索	curated	2026-09-17
RAG评测	ragpingce	30	中英开发表达	mixed	RAG评测	curated	2026-09-17
RBAC	rbac	40	接口协议	english	RBAC	development-names	2026-09-17
RCE	rce	40	接口协议	english	RCE	development-names	2026-09-17
README	readme	40	文件配置	english	README	development-names	2026-09-17
README.md	readmemd	40	文件配置	english	README.md	development-names	2026-09-17
REST	rest	40	接口协议	english	REST	development-names	2026-09-17
REST Assured	restassured	40	测试质量	english	REST Assured	development-names	2026-09-17
RESTful	restful	40	接口协议	english	RESTful	development-names	2026-09-17
RPC	rpc	40	接口协议	english	RPC	development-names	2026-09-17
RPC调用	rpcdiaoyong	30	中英开发表达	mixed	RPC调用	curated	2026-09-17
RPO	rpo	40	接口协议	english	RPO	development-names	2026-09-17
RQ	rq	40	后端框架	english	RQ	development-names	2026-09-17
RRF	rrf	40	数据检索	english	RRF	development-names	2026-09-17
RSA	rsa	40	接口协议	english	RSA	development-names	2026-09-17
RSC	rsc	40	前端框架	english	RSC	development-names	2026-09-17
RTO	rto	40	接口协议	english	RTO	development-names	2026-09-17
RabbitMQ	rabbitmq	40	部署运维	english	RabbitMQ	development-names	2026-09-17
Radix UI	radixui	40	前端框架	english	Radix UI	development-names	2026-09-17
Rails	rails	40	后端框架	english	Rails	development-names	2026-09-17
Railway	railway	40	部署运维	english	Railway	development-names	2026-09-17
Rake	rake	40	包管理构建	english	Rake	development-names	2026-09-17
Rakefile	rakefile	40	文件配置	english	Rakefile	development-names	2026-09-17
Rate Limit	ratelimit	40	接口协议	english	Rate Limit	development-names	2026-09-17
Rayon	rayon	40	后端框架	english	Rayon	development-names	2026-09-17
React	react	40	前端框架	english	React	development-names	2026-09-17
React DOM	reactdom	40	前端框架	english	React DOM	development-names	2026-09-17
React Hook Form	reacthookform	40	前端框架	english	React Hook Form	development-names	2026-09-17
React Native	reactnative	40	前端框架	english	React Native	development-names	2026-09-17
React Query	reactquery	40	前端框架	english	React Query	development-names	2026-09-17
React Router	reactrouter	40	前端框架	english	React Router	development-names	2026-09-17
React Testing Library	reacttestinglibrary	40	测试质量	english	React Testing Library	development-names	2026-09-17
React状态	reactzhuangtai	30	中英开发表达	mixed	React状态	curated	2026-09-17
React组件	reactzujian	30	中英开发表达	mixed	React组件	curated	2026-09-17
React钩子	reactgouzi	30	中英开发表达	mixed	React钩子	curated	2026-09-17
Readiness Probe	readinessprobe	40	接口协议	english	Readiness Probe	development-names	2026-09-17
Reanimated	reanimated	40	桌面移动	english	Reanimated	development-names	2026-09-17
Recall	recall	40	数据检索	english	Recall	development-names	2026-09-17
Recoil	recoil	40	前端框架	english	Recoil	development-names	2026-09-17
Redis	redis	40	数据检索	english	Redis	development-names	2026-09-17
Redis Streams	redisstreams	40	部署运维	english	Redis Streams	development-names	2026-09-17
Redis缓存	redishuancun	30	中英开发表达	mixed	Redis缓存	curated	2026-09-17
Redis连接	redislianjie	30	中英开发表达	mixed	Redis连接	curated	2026-09-17
Redpanda	redpanda	40	部署运维	english	Redpanda	development-names	2026-09-17
Redshift	redshift	40	数据检索	english	Redshift	development-names	2026-09-17
Redux	redux	40	前端框架	english	Redux	development-names	2026-09-17
Redux Toolkit	reduxtoolkit	40	前端框架	english	Redux Toolkit	development-names	2026-09-17
Refresh Token	refreshtoken	40	接口协议	english	Refresh Token	development-names	2026-09-17
Relay	relay	40	接口协议	english	Relay	development-names	2026-09-17
Release Please	releaseplease	40	包管理构建	english	Release Please	development-names	2026-09-17
Remix	remix	40	前端框架	english	Remix	development-names	2026-09-17
Render	render	40	部署运维	english	Render	development-names	2026-09-17
Request ID	requestid	40	接口协议	english	Request ID	development-names	2026-09-17
Reqwest	reqwest	40	后端框架	english	Reqwest	development-names	2026-09-17
Rerank	rerank	40	数据检索	english	Rerank	development-names	2026-09-17
Reranker	reranker	40	数据检索	english	Reranker	development-names	2026-09-17
Rerank模型	rerankmoxing	30	中英开发表达	mixed	Rerank模型	curated	2026-09-17
Retrofit	retrofit	40	桌面移动	english	Retrofit	development-names	2026-09-17
Retry Policy	retrypolicy	40	接口协议	english	Retry Policy	development-names	2026-09-17
Riverpod	riverpod	40	桌面移动	english	Riverpod	development-names	2026-09-17
Rocket	rocket	40	后端框架	english	Rocket	development-names	2026-09-17
RocketMQ	rocketmq	40	部署运维	english	RocketMQ	development-names	2026-09-17
RocksDB	rocksdb	40	数据检索	english	RocksDB	development-names	2026-09-17
Rollbar	rollbar	40	部署运维	english	Rollbar	development-names	2026-09-17
Rollup	rollup	40	前端框架	english	Rollup	development-names	2026-09-17
Roo Code	roocode	40	编程助手	english	Roo Code	development-names	2026-09-17
Room	room	40	桌面移动	english	Room	development-names	2026-09-17
Rspack	rspack	40	前端框架	english	Rspack	development-names	2026-09-17
Ruby	ruby	40	语言运行时	english	Ruby	development-names	2026-09-17
Ruby on Rails	rubyonrails	40	后端框架	english	Ruby on Rails	development-names	2026-09-17
RubyGems	rubygems	40	包管理构建	english	RubyGems	development-names	2026-09-17
Ruff	ruff	40	包管理构建	english	Ruff	development-names	2026-09-17
Rush	rush	40	包管理构建	english	Rush	development-names	2026-09-17
Rust	rust	40	语言运行时	english	Rust	development-names	2026-09-17
Rust借用	rustjieyong	30	中英开发表达	mixed	Rust借用	curated	2026-09-17
Rust生命周期	rustshengmingzhouqi	30	中英开发表达	mixed	Rust生命周期	curated	2026-09-17
Rust编译	rustbianyi	30	中英开发表达	mixed	Rust编译	curated	2026-09-17
RwLock	rwlock	40	后端框架	english	RwLock	development-names	2026-09-17
RxJS	rxjs	40	前端框架	english	RxJS	development-names	2026-09-17
Rye	rye	40	包管理构建	english	Rye	development-names	2026-09-17
S3	s3	40	部署运维	english	S3	development-names	2026-09-17
SAML	saml	40	接口协议	english	SAML	development-names	2026-09-17
SBT	sbt	40	包管理构建	english	SBT	development-names	2026-09-17
SCSS	scss	40	语言运行时	english	SCSS	development-names	2026-09-17
SDK集成	sdkjicheng	30	中英开发表达	mixed	SDK集成	curated	2026-09-17
SECURITY.md	securitymd	40	文件配置	english	SECURITY.md	development-names	2026-09-17
SHA256	sha256	40	接口协议	english	SHA256	development-names	2026-09-17
SHA512	sha512	40	接口协议	english	SHA512	development-names	2026-09-17
SKILL.md	skillmd	40	文件配置	english	SKILL.md	development-names	2026-09-17
SLA	sla	40	接口协议	english	SLA	development-names	2026-09-17
SLI	sli	40	接口协议	english	SLI	development-names	2026-09-17
SLO	slo	40	接口协议	english	SLO	development-names	2026-09-17
SOAP	soap	40	接口协议	english	SOAP	development-names	2026-09-17
SOPS	sops	40	部署运维	english	SOPS	development-names	2026-09-17
SPA	spa	40	前端框架	english	SPA	development-names	2026-09-17
SPLADE	splade	40	数据检索	english	SPLADE	development-names	2026-09-17
SPM	spm	40	桌面移动	english	SPM	development-names	2026-09-17
SQ	sq	40	数据检索	english	SQ	development-names	2026-09-17
SQL	sql	40	语言运行时	english	SQL	development-names	2026-09-17
SQL Injection	sqlinjection	40	接口协议	english	SQL Injection	development-names	2026-09-17
SQL Server	sqlserver	40	数据检索	english	SQL Server	development-names	2026-09-17
SQLAlchemy	sqlalchemy	40	后端框架	english	SQLAlchemy	development-names	2026-09-17
SQLFluff	sqlfluff	40	测试质量	english	SQLFluff	development-names	2026-09-17
SQLite	sqlite	40	数据检索	english	SQLite	development-names	2026-09-17
SQLite数据库	sqliteshujuku	30	中英开发表达	mixed	SQLite数据库	curated	2026-09-17
SQLx	sqlx	40	后端框架	english	SQLx	development-names	2026-09-17
SQL优化	sqlyouhua	30	中英开发表达	mixed	SQL优化	curated	2026-09-17
SQL查询	sqlchaxun	30	中英开发表达	mixed	SQL查询	curated	2026-09-17
SQL注入	sqlzhuru	30	中英开发表达	mixed	SQL注入	curated	2026-09-17
SQL语句	sqlyuju	30	中英开发表达	mixed	SQL语句	curated	2026-09-17
SQL迁移	sqlqianyi	30	中英开发表达	mixed	SQL迁移	curated	2026-09-17
SSE	sse	40	前端框架	english	SSE	development-names	2026-09-17
SSE连接	sselianjie	30	中英开发表达	mixed	SSE连接	curated	2026-09-17
SSG	ssg	40	前端框架	english	SSG	development-names	2026-09-17
SSL	ssl	40	接口协议	english	SSL	development-names	2026-09-17
SSR	ssr	40	前端框架	english	SSR	development-names	2026-09-17
SSRF	ssrf	40	接口协议	english	SSRF	development-names	2026-09-17
STOMP	stomp	40	部署运维	english	STOMP	development-names	2026-09-17
SVG	svg	40	前端框架	english	SVG	development-names	2026-09-17
SWC	swc	40	前端框架	english	SWC	development-names	2026-09-17
SWE-agent	sweagent	40	数据检索	english	SWE-agent	development-names	2026-09-17
SWR	swr	40	前端框架	english	SWR	development-names	2026-09-17
SaltStack	saltstack	40	部署运维	english	SaltStack	development-names	2026-09-17
Sandbox	sandbox	40	编程助手	english	Sandbox	development-names	2026-09-17
Sanic	sanic	40	后端框架	english	Sanic	development-names	2026-09-17
Sass	sass	40	语言运行时	english	Sass	development-names	2026-09-17
ScaNN	scann	40	数据检索	english	ScaNN	development-names	2026-09-17
Scala	scala	40	语言运行时	english	Scala	development-names	2026-09-17
Scoop	scoop	40	包管理构建	english	Scoop	development-names	2026-09-17
ScyllaDB	scylladb	40	数据检索	english	ScyllaDB	development-names	2026-09-17
SeaORM	seaorm	40	后端框架	english	SeaORM	development-names	2026-09-17
Sealed Secrets	sealedsecrets	40	部署运维	english	Sealed Secrets	development-names	2026-09-17
Selenium	selenium	40	测试质量	english	Selenium	development-names	2026-09-17
SemVer	semver	40	版本协作	english	SemVer	development-names	2026-09-17
Semantic Kernel	semantickernel	40	数据检索	english	Semantic Kernel	development-names	2026-09-17
Semantic Release	semanticrelease	40	包管理构建	english	Semantic Release	development-names	2026-09-17
Semantic Search	semanticsearch	40	编程助手	english	Semantic Search	development-names	2026-09-17
Semantic Versioning	semanticversioning	40	版本协作	english	Semantic Versioning	development-names	2026-09-17
Semgrep	semgrep	40	测试质量	english	Semgrep	development-names	2026-09-17
Sendable	sendable	40	桌面移动	english	Sendable	development-names	2026-09-17
Sentence Transformers	sentencetransformers	40	数据检索	english	Sentence Transformers	development-names	2026-09-17
Sentry	sentry	40	部署运维	english	Sentry	development-names	2026-09-17
Sequelize	sequelize	40	后端框架	english	Sequelize	development-names	2026-09-17
Serde	serde	40	后端框架	english	Serde	development-names	2026-09-17
Server Sent Events	serversentevents	40	接口协议	english	Server Sent Events	development-names	2026-09-17
Service Worker	serviceworker	40	前端框架	english	Service Worker	development-names	2026-09-17
SessionStorage	sessionstorage	40	前端框架	english	SessionStorage	development-names	2026-09-17
Setuptools	setuptools	40	包管理构建	english	Setuptools	development-names	2026-09-17
Shadow DOM	shadowdom	40	前端框架	english	Shadow DOM	development-names	2026-09-17
SharedFlow	sharedflow	40	桌面移动	english	SharedFlow	development-names	2026-09-17
Shell	shell	40	语言运行时	english	Shell	development-names	2026-09-17
ShellCheck	shellcheck	40	测试质量	english	ShellCheck	development-names	2026-09-17
Sidekiq	sidekiq	40	后端框架	english	Sidekiq	development-names	2026-09-17
SigNoz	signoz	40	部署运维	english	SigNoz	development-names	2026-09-17
SignalR	signalr	40	后端框架	english	SignalR	development-names	2026-09-17
Sinatra	sinatra	40	后端框架	english	Sinatra	development-names	2026-09-17
Sinon	sinon	40	测试质量	english	Sinon	development-names	2026-09-17
Skill	skill	40	编程助手	english	Skill	development-names	2026-09-17
Skills	skills	40	编程助手	english	Skills	development-names	2026-09-17
Skopeo	skopeo	40	部署运维	english	Skopeo	development-names	2026-09-17
Slate	slate	40	前端框架	english	Slate	development-names	2026-09-17
Slim	slim	40	后端框架	english	Slim	development-names	2026-09-17
Smolagents	smolagents	40	数据检索	english	Smolagents	development-names	2026-09-17
Snap	snap	40	包管理构建	english	Snap	development-names	2026-09-17
SnapshotTesting	snapshottesting	40	测试质量	english	SnapshotTesting	development-names	2026-09-17
Snowflake	snowflake	40	数据检索	english	Snowflake	development-names	2026-09-17
Snowflake ID	snowflakeid	40	接口协议	english	Snowflake ID	development-names	2026-09-17
Snyk	snyk	40	测试质量	english	Snyk	development-names	2026-09-17
Socket.IO	socketio	40	后端框架	english	Socket.IO	development-names	2026-09-17
SolidJS	solidjs	40	前端框架	english	SolidJS	development-names	2026-09-17
Solr	solr	40	数据检索	english	Solr	development-names	2026-09-17
SonarCloud	sonarcloud	40	测试质量	english	SonarCloud	development-names	2026-09-17
SonarQube	sonarqube	40	测试质量	english	SonarQube	development-names	2026-09-17
Spark	spark	40	部署运维	english	Spark	development-names	2026-09-17
Sparse Retrieval	sparseretrieval	40	数据检索	english	Sparse Retrieval	development-names	2026-09-17
Spectral	spectral	40	测试质量	english	Spectral	development-names	2026-09-17
Spring	spring	40	后端框架	english	Spring	development-names	2026-09-17
Spring AI	springai	40	后端框架	english	Spring AI	development-names	2026-09-17
Spring Batch	springbatch	40	后端框架	english	Spring Batch	development-names	2026-09-17
Spring Boot	springboot	40	后端框架	english	Spring Boot	development-names	2026-09-17
Spring Cloud	springcloud	40	后端框架	english	Spring Cloud	development-names	2026-09-17
Spring Data	springdata	40	后端框架	english	Spring Data	development-names	2026-09-17
Spring MVC	springmvc	40	后端框架	english	Spring MVC	development-names	2026-09-17
Spring Security	springsecurity	40	后端框架	english	Spring Security	development-names	2026-09-17
Spring WebFlux	springwebflux	40	后端框架	english	Spring WebFlux	development-names	2026-09-17
Stagehand	stagehand	40	数据检索	english	Stagehand	development-names	2026-09-17
StarRocks	starrocks	40	数据检索	english	StarRocks	development-names	2026-09-17
Starlette	starlette	40	后端框架	english	Starlette	development-names	2026-09-17
Startup Probe	startupprobe	40	接口协议	english	Startup Probe	development-names	2026-09-17
StateFlow	stateflow	40	桌面移动	english	StateFlow	development-names	2026-09-17
StoreKit	storekit	40	桌面移动	english	StoreKit	development-names	2026-09-17
Storybook	storybook	40	前端框架	english	Storybook	development-names	2026-09-17
Strapi	strapi	40	后端框架	english	Strapi	development-names	2026-09-17
Structured Output	structuredoutput	40	编程助手	english	Structured Output	development-names	2026-09-17
Stryker	stryker	40	测试质量	english	Stryker	development-names	2026-09-17
Styled Components	styledcomponents	40	前端框架	english	Styled Components	development-names	2026-09-17
Stylelint	stylelint	40	测试质量	english	Stylelint	development-names	2026-09-17
Subagent	subagent	40	编程助手	english	Subagent	development-names	2026-09-17
Subagents	subagents	40	编程助手	english	Subagents	development-names	2026-09-17
Supabase	supabase	40	数据检索	english	Supabase	development-names	2026-09-17
Svelte	svelte	40	前端框架	english	Svelte	development-names	2026-09-17
SvelteKit	sveltekit	40	前端框架	english	SvelteKit	development-names	2026-09-17
Swagger	swagger	40	接口协议	english	Swagger	development-names	2026-09-17
Swift	swift	40	语言运行时	english	Swift	development-names	2026-09-17
Swift Package Manager	swiftpackagemanager	40	桌面移动	english	Swift Package Manager	development-names	2026-09-17
Swift Testing	swifttesting	40	测试质量	english	Swift Testing	development-names	2026-09-17
SwiftData	swiftdata	40	桌面移动	english	SwiftData	development-names	2026-09-17
SwiftUI	swiftui	40	桌面移动	english	SwiftUI	development-names	2026-09-17
Swift协议	swiftxieyi	30	中英开发表达	mixed	Swift协议	curated	2026-09-17
Swift并发	swiftbingfa	30	中英开发表达	mixed	Swift并发	curated	2026-09-17
Swoole	swoole	40	后端框架	english	Swoole	development-names	2026-09-17
Symfony	symfony	40	后端框架	english	Symfony	development-names	2026-09-17
System Prompt	systemprompt	40	编程助手	english	System Prompt	development-names	2026-09-17
TCP	tcp	40	接口协议	english	TCP	development-names	2026-09-17
TDengine	tdengine	40	数据检索	english	TDengine	development-names	2026-09-17
TLS	tls	40	接口协议	english	TLS	development-names	2026-09-17
TLS握手	tlswoshou	30	中英开发表达	mixed	TLS握手	curated	2026-09-17
TOML	toml	40	语言运行时	english	TOML	development-names	2026-09-17
TOML配置	tomlpeizhi	30	中英开发表达	mixed	TOML配置	curated	2026-09-17
TOTP	totp	40	接口协议	english	TOTP	development-names	2026-09-17
TSF	tsf	40	桌面移动	english	TSF	development-names	2026-09-17
TSV	tsv	40	语言运行时	english	TSV	development-names	2026-09-17
Tailwind CSS	tailwindcss	40	前端框架	english	Tailwind CSS	development-names	2026-09-17
Tamagui	tamagui	40	前端框架	english	Tamagui	development-names	2026-09-17
TanStack Query	tanstackquery	40	前端框架	english	TanStack Query	development-names	2026-09-17
TanStack Router	tanstackrouter	40	前端框架	english	TanStack Router	development-names	2026-09-17
