# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
梁东村	n. Aldea de Liangdong
梁乃鹏	n. Liang Naipeng
梁乙村	n. Aldea Liang Yi
梁九图	n. Liang Jiutu
梁书	n. Libro de Liang
梁二庄乡	n. Municipio de Liang'er Zhuang
梁伟棠	n. Liang Weitang
梁佳	n. Liang Jia
梁储	n. Liang Chu
梁公庵	n. Ermita Liang Gong
梁兴	n. Liang Xing
梁军	n. El ejército Liang
梁刚	n. Liang Gang
梁华盛	n. Liang Hua estaba floreciendo
梁卓伟	n. Liang Zhuowei
梁厝	n. Liangcuo
梁原乡	n. Municipio de Liangyuan
梁各庄	n. Lianggezhuang
梁启超	n. Liang Qichao
梁周翰	n. Liang Zhouhan
梁咏琪	n. Gigi Leung
梁园	n. Jardín Liang
梁园小区	n. Comunidad de Liangyuan
梁国	n. Estado de Liang
梁国雄	n. Liang Guoxiong
梁士诒	n. Liang Shiyi
梁天	n. Liang Tian
梁头	n. liangtou
梁宗岱	n. Liang Zongdai
梁定邦	n. Liang Dingbang
梁宝寺镇	n. Pueblo de Liangbaosi
梁宰豪	n. Liang Zaihao
梁家务	n. Liangjiawu
梁家务村	n. Pueblo de Liangjiawu
梁家坝	n. Liangjiaba
梁家坪乡	n. Municipio de Liangjiaping
梁家巷	n. Callejón Liangjia
梁家店	n. Liangjiadian
梁家村	n. Pueblo de Liangjia
梁家杰	n. Leung Ka Kit
梁家潭乡	n. Municipio de Liangjiatan
梁家辉	n. Leung Ka Fai
梁家骝	n. Liang Jialiu
梁宽	n. Liang Kuan
梁寅	n. Liang Yin
梁寒操	n. Liang Hancao
梁小敏	n. Liang Xiaomin
梁小民	n. Liang Xiaomin
梁山	n. Liangshan
梁市	n. Ciudad de Liang
梁希	n. Liang Xi
梁希贤	n. Liang Xixian
梁平甜茶	n. Té dulce Liangping
梁庄	n. Liangzhuang
梁序昭	n. Liang Xuzhao
梁廷楠	n. Liang Tingnan
梁思成	n. Liang Sicheng
梁思礼	n. Liang Sili
梁才街道	n. Subdistrito de Liangcai
梁振	n. Liang Zhen
梁振英	n. Leung Chun-ying
梁文博	n. Liang Wenbo
梁文斌	n. Liang Wenbin
梁文道	n. dijo Liang Wendao
梁斌	n. Liang Bin
梁春	n. Liang Chun
梁晓声	n. Liang Xiaosheng
梁智仁	n. Liang Zhiren
梁智鸿	n. Liang Zhihong
梁朝伟	n. Tony Leung
梁村	n. Aldea Liang
梁枢	n. Liang Shu
梁柏台	n. Liang Baitai
梁柱	n. vigas y pilares
梁楷	n. Liang Kai
梁武帝	n. Emperador Wu de Liang
梁永斌	n. Liang Yongbin
梁沟	n. Liangou
梁河	n. Río Liang
梁洛施	n. Liang Luoshi
梁洪	n. Liang Hong
梁淑贞	n. Liang Shuzhen
梁清标	n. Liang Qingbiao
梁溪	n. Liangxi
梁溪大桥	n. Puente de Liangxi
梁溪梅	n. Liangxi Mei
梁溪路	n. Calle Liangxi
梁漱溟	n. Liang Shuming
梁熙	n. Liang Xi
梁玉珍	n. Liang Yuzhen
梁玉绳	n. Liang Yusheng
梁琦	n. Liang Qi
梁瑛	n. Liang Ying
梁璐	n. Liang Lu
梁甫	n. Liangfu
梁石桥	n. Puente de Liangshi
梁祝公园	n. Parque Liangzhu
梁章钜	n. Liang Zhangju
梁紫	n. Liang Zi
梁红玉	n. Liang Hongyu
梁绍壬	n. Liang Shaoren
梁群	n. Liang Qun
梁羽生	n. Nació Liang Yu
梁耀汉	n. Liang Yaohan
梁芷珊	n. Liang Zhishan
梁西村	n. Aldea de Liangxi
梁诗正	n. Liang Shizheng
梁诚	n. Liang Cheng
梁邱	n. Liangqiu
梁邹	n. Liangzou
梁门	n. Puerta Liang
梁集乡	n. Municipio de Liangji
梁霞	n. Liang Xia
梁青路	n. Carretera Liangqing
梁靖琪	n. Liang Jingqi
梁静	n. Liang Jing
梁静茹	n. Liang Jingru
梁鹤年	n. Liang Henian
梁麟	n. Liang Lin
梁鼎芬	n. Liang Dingfen
梃	n. personal
梅	n. plum
梅三路	n. Calle Mei San
梅东村	n. Aldea de Meidong
梅丽路	n. Calle Meili
梅亭	n. Meiting
梅亭村	n. Aldea de Meiting
梅伦	n. Mellon
梅克	n. Meck
梅克伦	n. Mecklen
梅克伦堡	n. Mecklemburgo
梅克尔憩室	n. El vestuario de Merkel
梅兰	n. mei Lan
梅兰芳	n. Mei Lanfang
梅兰锡咖啡	n. Café Mérancio
梅兹	n. Metz
梅列	n. Meili
梅利	n. Merry
梅勒	n. Meyle
梅县	n. Meixiano
梅县市	n. Ciudad de Meixian
梅启照	n. Mei Qizhao
梅哲	n. Mezer
梅园	n. jardín de Ciruelos
梅园小区	n. Comunidad de Meiyuan
梅园庄街道	n. Subdistrito de Meiyuanzhuang
梅园新村	n. Aldea Nueva de Meiyuan
梅园村	n. Aldea Meiyuan
梅园路	n. Carretera Meiyuan
梅坞口	n. Paso de Meiwu
梅坪乡	n. Municipio de Meiping
梅埠街道	n. Subdistrito de Meibu
梅塔	n. Meta
梅塘	n. Meitang
梅塘村	n. Aldea Meitang
梅塞得斯奔驰	n. Mercedes en Mercedes
梅墟	n. Meixu
梅夏英	n. Mei Xiaying
梅婷	n. Mei Ting
梅子	n. ciruelas
梅子坑	n. Meizikeng
梅子坪乡	n. Municipio de Meiziping
梅子垭	n. Paso Meizi
梅子山	n. Meizishan
梅子肉	n. carne de ciruela
梅宫安娜	n. Anna Umegiya
梅家	n. La familia Mei
梅家坞	n. Meijiawu
梅家河	n. Río Meijia
梅家湾	n. Meijiawan
梅尔	n. Mel
梅尔斯	n. Mels
梅尔维尔鲸	n. La ballena de Melville
梅尧臣	n. Mei Yaochen
梅尼	n. Meini
梅尼埃病	n. Enfermedad de Ménière
梅尼小环藻	n. Microanalgas Meini
梅山	n. Meishan
梅山太湖母猪	n. Cerda de Meishan Taihu
梅山村	n. Aldea de Meishan
梅山社区	n. Comunidad Meishan
梅山路	n. Carretera Meishan
梅山路口	n. Intersección con Meishan Road
梅屿	n. Meiyu
梅岐乡	n. Municipio de Meiqi
梅岗南街	n. Calle Sur de Meigang
梅岙	n. Mei Ao
梅岭	n. Meiling
梅岭村	n. Aldea de Meiling
梅峰	n. Meifeng
梅峰宾馆	n. Meifeng Hotel
梅峰村	n. Aldea de Meifeng
梅峰社区	n. Comunidad de Meifeng
梅川新村	n. Pueblo Nuevo de Umekawa
梅川路	n. Carretera Meichuan
梅州	n. Meizhou
梅州市	n. Ciudad de Meizhou
梅巧龄	n. Mei Qiaoling
梅市	n. Meishi
梅市口	n. Meishikou
梅市口南站	n. Estación Sur de Meishikou
梅市口路	n. Carretera Meishikou
梅市村	n. Aldea Meishi
梅希文	n. Mei Xiwen
梅干菜	n. mostazas conservadas
梅庄	n. Meizhuang
梅庄村	n. Aldea de Meizhuang
梅建	n. Mei Jian
梅开二度	phr. floración dos veces
梅德	n. Medicina
梅慎实	n. Mei Shenshi
梅成栋	n. Mei Chengdong
梅所屯村	n. Pueblo de Meisutun
梅文鼎	n. Mei Wending
梅斯	n. Maza
梅新	n. Meixin
梅易宝螺	n. Mei Yi Bao Luo
梅星	n. Meixing
梅星村	n. Pueblo de Meixing
梅村	n. Meicun
梅村村	n. Aldea Meicun
梅村路	n. Carretera Meicun
梅林	n. merlín
梅林一村	n. Aldea Meilin
梅林北路	n. Carretera Meilin Norte
梅林医院	n. Meilin Hospital
梅林村	n. Aldea Meilin
梅林检查站	n. Punto de control Merlin
梅林码头	n. Muelle Merlín
梅林路	n. Carretera Meilin
梅树	n. ciruelos
梅树下	n. bajo el ciruelo
梅树乡	n. Municipio de Meishu
梅树果蝇	n. moscas frugívoras del ciruelo
梅根	n. Megan
梅根法案	n. La Ley Megan
梅格	n. Meg
梅格纳斯特耶	n. Megnastelje
梅森	n. Mason
梅欣	n. Meixin
梅毒	n. sífilis
梅毒性心脏病	n. cardiopatía sifilítica
梅毒疹	n. erupción sifilítica
梅毒螺旋体	n. Treponema pallidum
梅氏条尾魟鱼	n. rayraya de Mei
梅氏毛鲶	n. el bagre de Mei
梅氏鮨丽鱼	n. sushi Liyu de Mei
梅江	n. Meijiang
梅江道	n. dijo Mei Jiang
梅沟营	n. Campamento Meigou
梅河	n. Meihe
梅河口市	n. Ciudad de Meihekou
梅洁	n. Mei Jie
梅洛	n. Merlot
梅洞村	n. Aldea de Meidong
梅津龙	n. Dragón Umejin
梅洲乡	n. Municipio de Meizhou
梅济	n. Meiji
梅清	n. Mei Qing
梅湾街道	n. Subdistrito de Meiwan
梅溪	n. Meixi
梅溪村	n. Aldea de Meixi
梅溪牌坊	n. Arco de Meixi
梅溪路	n. Carretera Meixi
梅灵南路	n. Carretera Meiling Sur
梅瑴成	n. Mei Jue se completó
梅甘娜	n. Megana
梅田	n. Umeda
梅田彩佳	n. Ayaka Umeda
梅田湖镇	n. Ciudad del Lago Meitian
梅益	n. Mei Yi
梅耶	n. Maye
梅艳芳	n. Anita Mui
梅花	n. flores de ciruelo
梅花奖	n. Premio Flor de Ciruelo
梅花山	n. Montaña Flor de Ciruelo
梅花山庄	n. Villa Flor de Ciruelo
梅花鹿	n. ciervo sika
梅苑	n. Jardín de Ciruelos
梅苑路	n. Carretera Meiyuan
梅苑阁小区	n. Comunidad del Pabellón Meiyuan
梅英杰	n. Mei Yingjie
梅茵	n. Principal
梅莉	n. Meili
梅菉街道	n. Subdistrito de Meilu
梅菲	n. Mayphy
梅萨	n. Mesa
梅葆玖	n. Mei Baojiu
梅西	n. Messi
梅西路	n. Camino Messi
梅诺蒂	n. Menotti
梅贻琦	n. Mei Yiqi
梅赛德斯	n. Mercedes
梅达沃	n. Medavo
梅迪	n. Medi
梅里	n. Meili
梅里亚	n. Meria
梅里厄姆马鹿	n. Ciervo Merriam
梅里斯	n. Merris
梅里特	n. Merritt
梅阿查	n. Meacha
梅陇	n. Meilong
梅陇八村	n. Ocho aldeas de Meilong
梅陇农场	n. Granja Meilong
梅陇十一村	n. Aldeas Once de Meilong
梅陇四村	n. Meilong, las cuatro aldeas
梅陇路	n. Carretera de Meilong
梅隆	n. Mellon
梅雨	n. lluvia de ciruela
梅雨田	n. Campos de Meiyu
梅雨镇	n. Pueblo de Meiyu
梅青	n. Meiqing
梅魁	n. Mei Kui
梅鱼	n. Pez ciruela
梅鼎祚	n. Mei Dingzuo
梅龙	n. Mei Long
梅龙公路	n. Autopista de Meilong
梆	n. ¡Bang
梆子	n. bangzi
梆子井	n. Bangzi Well
梆梆肉	n. bang bang carne
梆硬	adj. difícil
梌	n. zhi
梏	n. grilletes
梓	n. catalpa
梓园	n. Ziyuan
梓园路	n. Carretera Ziyuan
梓坊村	n. Aldea de Zifang
梓山	n. Zishan
梓橦庙乡	n. Municipio del Templo Zitong
梓淇	n. Ziqi
梓溪村	n. Aldea Zixi
梓潼	n. Zitong
梓潼酥饼	n. Pastelería Zitong
梓醇	n. zichenol
梓里村	n. Pueblo de Zili
梗	n. broma
梗塞	v. bloquear
梗概	n. resumen
梗死	n. infarto
梗阻	n. obstrucción
梗阻性肾病	n. nefropatía obstructiva
梗阻性脑积水	n. hidrocefalia obstructiva
梠	n. luo
梢	n. cola
梢头	n. en la punta
梣	n. ash
梦	n. dream
梦中	n. en el sueño
梦中情人	n. amante de los sueños
梦乡	n. dreamland
梦云	n. meng Yun
梦到	v. soñar con
梦到了	v. soñar con
梦到他	phr. soñando con él
梦到你	phr. soñando contigo
梦到你了	phr. soñé contigo
梦到过	v. soñar
梦呓	n. murmurando en sueños
梦回	v. soñar de nuevo
梦境	n. paisaje onírico
梦婷	n. Mengting
梦宫	n. palacio de los Sueños
梦寐	n. soñando
梦寐以求	phr. buscado solo en sueños
梦幻	adj. fantasía
梦幻小丑灯	n. farol de payaso soñador
梦幻旗	n. bandera de ensueño
梦幻火口	n. cráter de sueño
梦幻芋螺	n. caracol de taro soñador
梦幻花仙螺	n. caracol Hada Flor Soñadora
梦幻鬼鱼	n. pez fantasma onírico
梦想	n. sueños
梦想家	n. soñadores
梦梦	n. mengmeng
梦泪	n. lágrimas de sueño
梦游	v. sonámbulo
梦溪路	n. Calle Mengxi
梦琴湾	n. Bahía de Mengqin
梦瑶	n. Mengyao
梦瑶最	n. Mengyao era el mejor
梦白村	n. Aldea de Mengbai
梦脚	n. pies de sueño
梦莹	n. Mengying
梦见	v. soñar con
梦见了	v. soñar con
梦见你	phr. soñando contigo
梦见自己	phr. soñando contigo mismo
梦话	n. hablando dormido
梦迪博朗	n. Mengdi Bolang
梦遗	n. sueños nocturnos
梦都	n. ciudad de los Sueños
梦醒	v. despertar del sueño
梦醒了	phr. el sueño terminó
梦里	n. en mis sueños
梦露	n. Marilyn Monroe
梦魇	n. pesadilla
梦麟	n. Meng Lin
梧	n. Wu
梧坑村	n. Pueblo Wukeng
梧宅村	n. Pueblo de Wuzhai
梧山	n. Wushan
梧山村	n. Pueblo Wushan
梧峰	n. Wufeng
梧峰村	n. Aldea Wufeng
梧州	n. Wuzhou
梧州市	n. Ciudad de Wuzhou
梧慈路	n. Carretera Wuci
梧村	n. Pueblo Wu
梧栖	n. Wuqi
梧桐	n. wutong
梧桐公寓	n. Apartamentos Wutong
梧桐坑	n. Pozo Wutong
梧桐墅	n. Wutong Villa
梧桐子	n. semillas de Wutong
梧桐山	n. Montaña Wutong
梧桐村	n. Pueblo de Wutong
梧桐社区	n. Comunidad de Wutong
梧桐花园	n. Jardín Wutong
梧桐苑	n. Jardín Wutong
梧桐路	n. Carretera Wutong
梧田	n. Wutian
梨	n. pera
梨丰乡	n. Municipio de Lifeng
梨丸	n. nashimaru
梨元屯镇	n. Pueblo de Liyuan Tun
梨县	n. Condado de Li
梨双公路	n. Autopista Lishuang
梨吉丁虫	n. zanja de pera
梨园	n. jardín de Peras
梨园东里小区	n. Comunidad Liyuan Dongli
梨园北街	n. Calle Liyuan Norte
梨园店	n. Sucursal de Liyuan
梨园戏	n. Ópera de Pear Garden
梨坑	n. Likeng
梨坑村	n. Pueblo de Likeng
梨坪村	n. Pueblo de Liping
梨奈	n. Rina
梨子	n. pera
梨子山	n. Colina Pear
梨子水	n. agua de pera
梨小食心虫	n. filarioso pequeño de pera
梨山	n. Lishan
梨形四膜虫	n. Tetraímen de pera
梨树	n. perales
梨树下	n. bajo el peral
梨树村	n. Aldea Lishu
梨树角	n. Esquina del peral
梨状肌	n. piriforme
梨状肌综合征	n. síndrome de piriforme
梨羊村	n. Aldea de Liyang
梨脯	n. cecina de pera
梨花	n. flores de peral
梨花小区	n. Comunidad Lihua
梨花街	n. Calle Pear Blossom
梨虎象	n. perales, tigres y elefantes
梭	n. transbordador
梭坡	n. Suopo
梭子	n. transbordador
梭子蟹	n. cangrejo nadador
梭梭板	n. plataforma de lanzadera
梭状芽胞杆菌	n. bacteria Clostridium
梭罗村	n. Pueblo de Suoluo
梭草村	n. Aldea de Suocao
梭镖	n. dardos lanzadera
梯	n. clasificación
梯子	n. clasificación
梯度	n. pendiente
梯度下降	n. descenso en pendiente
梯形	n. trapezoidal
梯恩梯	n. Tien Ti
梯田	n. campos en terrazas
梯级	n. pasos
梯门	n. puerta escalera
梯队	n. echelon
械	n. armas
械斗	n. combate armado
梳	v. peinar
梳士	n. peine
梳头	v. peinar
梳妆	v. disfrazarse
梳妆台	n. tocador
梳妆打扮	phr. disfrazarse
梳妆楼	n. la torre de vestidores
梳子	n. peine
梳子百页	n. cien páginas de peines
梳排序	n. clasificación de peine
梳洗	v. lavarse y vestirse
梳理	v. peinar
梳辫子	v. trenzar el pelo
梵	n. Brahman
梵古水郡小区	n. Comunidad Fangu Shuijun
梵希	n. Fanshi
梵文	n. Sánscrito
梵文菌瓢虫	n. mariquita hongo sánscrito
梵村	n. Pueblo Fan
梵殿乡	n. Municipio de Brahma Hall
梵蒂	n. Vati
梵蒂冈	n. Vaticano
梵语	n. Sánscrito
梵隆	n. Fanlong
梶浦由记	n. Yuki Kajiura
梼	n. tao
梾	n. shu
梿	n. jian
检	v. inspeccionar
检举	v. informar
检修	v. reformar
检出	v. prestar Out
检出率	n. tasa de detección
检定	v. inspeccionar
检察	v. procesar
检察委员会检察员	n. fiscal del Comité Fiscal
检察官	n. fiscal
检察官学校	n. escuela de Fiscalía
检察官手记	n. notas del fiscal
检察机关	n. órganos fiscales
检察署	n. fiscalía
检察长	n. fiscal General
检察院	n. fiscalía
检控	v. procesar
检方	n. fiscal
检查	v. comprobar
检查发动机	v. comprobar el motor
检查和	v. comprobar y reparar
检查更新	v. comprobar actualizaciones
检查点	n. puntos de control
检查程序	n. revisa el procedimiento
检查站	n. puntos de control
检查链接	phr. consulta el enlace
检校	v. comprobar
检测	v. detectar
检测中心	n. centro de pruebas
检测到	v. detectar
检测站	n. estación de pruebas
检测结果	n. resultados de las pruebas
检点	v. comprobar
检疫	n. cuarentena
检疫期	n. periodo de cuarentena
检票	v. comprobar tickets
检票口	n. puerta de entrada
检索	v. buscar
检索技术	n. tecnología de recuperación
检索机制	n. mecanismo de recuperación
检索树	n. árbol de búsqueda
检索空间	n. espacio de búsqueda
检署	n. oficina del Inspector
检视	v. inspeccionar
检讨	v. autocrítica
检错	v. detectar errores
检阅	v. repasar
检验	v. probar
检验位	n. bit de comprobación
检验器	n. tester
检验序列	n. secuencias de pruebas
检验步骤	n. pasos de inspección
检验码	n. código de verificación
检验程序	n. procedimientos de inspección
检验站	n. estación de inspección
检验计算	n. cálculos de verificación
棁	n. zhi
棂	n. retículo
棉	n. algodón
棉兰	n. Medan
棉兰老岛扇尾鹦哥	n. Loro fantail de Mindanao
棉农	n. agricultores de algodón
棉区	n. región algodonera
棉古毒蛾	n. polilla venenosa del algodón
棉城街道	n. Subdistrito de Miancheng
棉套	n. mangas de algodón
棉山	n. Montaña Cotton
棉布	n. tejido de algodón
棉服	n. ropa de algodón
棉桃	n. algodón melocotón
棉棉	n. mianMian
棉毛衫	n. jersey de algodón
棉毛裤	n. pantalones acolchados de algodón
棉猴儿	n. mono de Algodón
棉球	n. bolas de algodón
棉田	n. campos algodoneros
棉签	n. hisopos de algodón
棉籽	n. semilla de algodón
棉絮	n. algodón de algodón
棉纤维	n. fibra de algodón
棉纱	n. hilo de algodón
棉纺	n. hilado de algodón
棉纺厂	n. hilado de algodón
棉纺织厂	n. fábrica textil de algodón
棉线	n. hilo de algodón
棉织品	n. textiles de algodón
棉绒	n. algodón
棉绸	n. seda de algodón
棉花	n. algodón
棉花仓库	n. almacén de algodón
棉花巷	n. Callejón del Algodón
棉花糕	n. pastel de algodón
棉花糖	n. malvaviscos
棉花胡同	n. Callejón del Algodón
棉衣	n. ropa acolchada de algodón
棉袄	n. chaqueta de algodón
棉袍	n. túnica de algodón
棉被	n. edredón de algodón
棉裤	n. pantalones de algodón
棉酚	n. gossypol
棉铃	n. bolls de algodón
棉铃虫	n. gusano del algodón
棉鞋	n. zapatos de algodón
棋	n. ajedrez
棋具	n. equipamiento de ajedrez
棋友	n. amigos ajedrescos
棋哥	n. hermano Qi
棋圣	n. Ajedrez Sage
棋士	n. jugador de Go
棋子	n. pieza de ajedrez
棋局	n. tablero de ajedrez
棋手	n. jugador de ajedrez
棋杆	n. palo de ajedrez
棋盘	n. tablero de ajedrez
棋盘新村	n. Aldea Nueva de Qipan
棋盘游戏	n. juegos de mesa
棋盘石	n. piedra de ajedrez
棋类	n. partidas de ajedrez
棋艺	n. habilidades en el ajedrez
棋苑	n. jardín de Ajedrez
棋谱	n. récords de partidos
棋赛	n. torneo de ajedrez
棋路	n. camino del ajedrez
棋迷	n. ¡Vamos, fans
棋院	n. go Academy
棋风	n. estilo de ajedrez
棍	n. personal
棍子	n. palo
棍棒	n. palitos
棍棒伤	n. heridas de los mazos
棍节	n. articulaciones del personal
棒	adj. stick
棒呆	adj. genial
棒哒	adj. genial
棒啊	phr. genial
棒喝	n. llama fuerte
棒子	n. palo
棒子面	n. fideos bangzi
棒客	n. jugador de palo
棒操	n. ejercicio con palo
棒极	adj. genial
棒极了	phr. genial
棒棒	n. genial
棒棒的	adj. genial
棒棒糖	n. lollipop
棒棒肉	n. bang Bang Meat
棒棒鸡	n. Bang Bang Ji
棒棒鸡丝	n. bang Bang Pollo Desmenuzado
棒槌	n. martillo
棒槌果子	n. fruta Bangchui
棒状杆菌	n. corynebacterium
棒球	n. béisbol
棒球场	n. campo de béisbol
棒球赛	n. partido de béisbol
棒球选手	n. jugador de béisbol
棒球队	n. equipo de béisbol
棒糖	n. lollipop
棒酸	n. ácido en palo
棒针	n. aguja de pinchazo
棒队	n. equipo de béisbol
棓	n. tambor
棕	n. palm
棕冠蜂鸟	n. colibrí de corona parda
棕刺尻鱼	n. pez corvo espinoso marrón
棕刺莺	n. reinita espinosa marrón
棕刺鰕虎鱼	n. gobio espinoso marrón
棕喉姬鹟	n. papamoscas garganta marrón
棕地雀鹀	n. escribano de fondo pardo
棕壶水母	n. medusa de olla marrón
棕夜鹭	n. garza nocturna marrón
棕夜鹰	n. chotacabras marrón
棕尾蝇霸鹟	n. papamoscas de cola parda
棕尾鵟	n. buitre de cola parda
棕尾鹟鴷	n. papamoscas de cola parda
棕带焦扇贝	n. vieiras de bandas marrones
棕斑尾鳝	n. anguila manchada parda
棕斑鸠	n. paloma manchada marrón
棕星脚	n. pata estrella marrón
棕树	n. palmeras
棕树十街坊	n. Palmeras en diez barrios
棕树村	n. Aldea Zongshu
棕榈	n. palm
棕榈凤头鹦鹉	n. cacatúa palmera
棕榈巴丹	n. palm Bataan
棕榈巴丹凤头鹦鹉	n. cacatúa Palm Padan
棕榈果蝠	n. murciélago frugívoro de palma
棕榈油	n. aceite de palma
棕榈蓟马	n. trips de la palma
棕榈酸	n. ácido palmítico
棕榈鬼鸮	n. búho fantasma de palma
棕榈黄蓟马	n. trips amarillo palma
棕毛	n. pelo castaño
棕熊	n. oso pardo
棕狐蝠	n. zorro marrón
棕瓶	n. botella marrón
棕短角鹿	n. ciervo pardo
棕硬尾鸭	n. pato cola parda
棕簑猫	n. gato de palma
棕红	adj. marrón-rojo
棕绳	n. cuerda marrón
棕绿钮扣珊瑚	n. coral botón marrón-verde
棕翅唐加拉雀	n. dongara de alas marrones
棕翅缺角蛱蛾	n. polilla ala parda
棕翅蚁鵙	n. formigueo alarredondado
棕翅鵟鹰	n. buitre de alas marrones
棕翠鴗	n. oropélera marrón-verde
棕胁秋沙鸭	n. merganser de flancos marrones
棕背蚁鵙	n. anthrike de lomo pardo
棕背蚁鸟	n. hormiguero lomo pardo
棕背鸫	n. zorzal de espalda parda
棕胸鵖霸鹟	n. papamoscas pectorón marrón
棕脸鹟莺	n. reinita de cara marrón
棕腹夜鹰	n. chotacabras de vientre marrón
棕腹杜鹃	n. cuco de vientre marrón
棕腹长尾霸鹟	n. papamoscas de vientre pardo
棕腹鸫	n. zorzal de vientre pardo
棕腹鹟	n. papamoscas de vientre pardo
棕腿齿鹰	n. halcón de patas marrones
棕臀白尾梢蜂鸟	n. colibrí de lomba parda
棕色	n. brown
棕色塔褐甲	n. armadura marrón torre marrón
棕色扇尾鹟	n. popa marrón
棕茅	n. pasa de coco
棕褐叶鰕虎鱼	n. gobio de hoja marrón
棕褐孤鸫	n. zordal solitario pardo
棕褐盾蛭	n. sanguijuela escudo marrón
棕顶猛雀鹀	n. escribano gorrión gorrito marrón
棕顶翠鴗	n. esmeralda de corona marrón
棕顶蚁鵙	n. formigueón de corona marrón
棕颈犀鸟	n. tucao de cuello marrón
棕额扇尾鹟	n. popa de frente marrón
棕额鹦哥	n. loro de frente marrón
棕黄	adj. pardón
棕黑	adj. marrón-negro
棕黑歌鹀	n. escriba cantora marrón-negra
棕黑疣螈	n. salamandra verrugosa marrón-negra
棘	n. espinas
棘上韧带	n. ligamento supraespinoso
棘刺	n. espinas
棘头虫动物门	n. Filo Acanthocephala
棘层	n. capa de espinas
棘手	adj. complicado
棘球蚴病	n. equinococcosis
棘突	n. proceso espinoso
棘茎榖木	n. tallos espinosos y mijo
棘豆	n. judía espinosa
棘鮋	n. esturión espinoso
棚	n. cobertizo
棚圈	n. círculo de fans
棚子	n. el cobertizo
棚户	n. chabolas
棚户区	n. barrios marginales
棠	n. tang
棠下	n. Tangxia
棠东	n. Tangdong
棠张	n. Tang Zhang
棠景街道	n. Subdistrito de Tangjing
棠梨沟	n. Zanja de Tangli
棠棣	n. tangdi
棠棣村	n. Pueblo de Tangdi
棠花胡同	n. Tanghua Hutong
棣	n. di
棤	n. qi
棨	n. qi
棪	n. ziyong
棫	n. yu
棬	n. pilar
棬子树	n. El árbol Qian Zi
森	n. bosque
森严	adj. estricto
森严壁垒	phr. formidables fortificaciones
森久保祥太郎	n. Shotaro Morikubo
森光子	n. Mitsuko Mori
森县	n. Prefectura de Mori
森参	n. ginseng del bosque
森堡	n. Senborg
森山未来	n. Mirai Moriyama
森州	n. Senzhou
森庄	n. Senzhuang
森本龙太郎	n. Morimoto Ryutaro
森村诚一	n. Seiichi Morimura
森林	n. bosque
森林公园	n. parque Forestal
森林动物园	n. zoo del Bosque
森林古猿	n. antiguos simios del bosque
森林古猿属	n. Género de simios forestales
森林大第	n. Mansión del Bosque
森林广场	n. Plaza del Bosque
森林总队	n. cuerpo Forestal
森林法院	n. corte Forestal
森林砍伐	n. deforestación
森林脑炎	n. encefalitis forestal
森林里	n. en el bosque
森林革蜱	n. garrapatas del bosque
森森	adj. sensen
森次晃嗣	n. Moritsugu Akira le sucedió
森气	n. escalofriante
森然	adj. denso
森理世	n. Mori Riyo
森田	n. Morita
森田美位子	n. Miiko Morita
森田芳光	n. Yoshimitsu Morita
森美	n. Sammy
森荣乡	n. Aldea de Senrong
森饰	n. Decoración forestal
森鸥外	n. Mori Ouwai
棰	n. palo
棱	n. arista
棱光	n. luz prismática
棱角	n. aristas angulares
棱镜	n. prisma
棵树	n. keshu
棹	n. remo
棺	n. ataúd
棺木	n. ataúd
棺材	n. ataúd
棺材瓤子	n. pulpa de ataúd
棺柩	n. ataúd
棺椁	n. ataúd y caja exterior
棻	n. fen
棼	n. pantano
椀	n. bowl
椁	n. el ataúd exterior
椅	n. presidente
椅垫	n. cojín
椅子	n. presidente
椅子胡同	n. Presidente Hutong
椆	n. caja
椋	n. liang
植	v. plantar
植保	n. zhibao
植入	v. implantar
植入剂	n. implantes
植入片	n. tabletas para implantes
植入物	n. implantes
植发	v. trasplante capilar
植村花菜	n. Kana Uemura
植树	v. plantar árboles
植树节	n. Día del Árbol
植株	n. planta
植根	v. echar raíces
植棉	v. plantar algodón
植物	n. plantas
植物人	n. paciente vegetativo
植物凝集素	n. lectinas vegetales
植物化蜗牛	n. caracoles de origen vegetal
植物卷	n. rotación de plantas
植物园	n. jardín botánico
植物园路	n. Camino del Jardín Botánico
植物学	n. botánica
植物学家	n. botánico
植物害虫	n. plagas vegetales
植物寄生线虫	n. nematodos parásitos de plantas
植物带	n. cinturón de plantas
植物极	n. extremos de las plantas
植物检疫	n. cuarentena vegetal
植物检疫条例	n. normativas de cuarentena vegetal
植物油	n. aceites vegetales
植物油厂	n. fábrica de aceites vegetales
植物添银花	n. las plantas añaden madreselva
植物炭黑	n. negro carbón vegetal
植物状态	n. estado de la planta
植物界	n. el reino vegetal
植物碱	n. álcalis vegetales
植物纤维	n. fibras vegetales
植物羊	n. ovejas vegetales
植物群落	n. comunidades vegetales
植物蜡	n. cera vegetal
植物血凝素	n. fitohemaglutinina
植物附生性生物	n. organismo epífita vegetal
植物饮料	n. bebidas de origen vegetal
植皮	v. injertar piel
植皮术	n. injerto de piel
植苗	v. plantar plántulas
植被	n. vegetación
植被图	n. mapa de vegetación
植被型	n. tipo vegetativo
植被带	n. cinturón de vegetación
植酸	n. ácido fítico
植酸钠	n. fitato de sodio
