# 由 glimmer-gloss-gen 生成（LLM），音标来自 ipa-dict。词	[词性. ]译词[|音标]	[词性. ]译词[|音标]
㕮	v. chew|tʃuː
心有灵犀	phr. tacit understanding|ˈtæsɪt ˌəndərˈstændɪŋ
心有灵犀一点通	phr. hearts linked|hɑːrts lɪŋkt
心服	v. be convinced|biː kənˈvɪnst
心服口服	phr. be convinced|biː kənˈvɪnst
心术	n. intention|ˌɪnˈtentʃən
心术不正	phr. wicked|ˈwɪkəd
心机	n. scheme|skiːm	n. calculation|ˌkælkjəˈleɪʃən
心毒	adj. vicious|ˈvɪʃəs
心比天高	phr. aspire after something high|əˈspaɪr ˈæftər ˈsʌmθɪŋ haɪ
心气	n. ambition|æmˈbɪʃən
心气虚证	n. heart qi deficiency syndrome|hɑːrt kiː dɪˈfɪʃənsi ˈsɪnˌdroʊm
心浮	adj. impatient|ˌɪmˈpeɪʃənt
心浮气躁	adj. impatient|ˌɪmˈpeɪʃənt
心源性休克	n. cardiogenic shock
心源性哮喘	n. cardiac asthma|ˈkɑːrdiːˌæk ˈæzmə
心源性晕厥	n. cardiac syncope|ˈkɑːrdiːˌæk ˈsɪnkəˌpi
心源性水肿	n. cardiac edema|ˈkɑːrdiːˌæk ɪˈdiːmə
心满意足	phr. satisfied|ˈsætəsˌfaɪd
心潮	n. surge of emotion|sɜːrdʒ ʌv ˈiːˌmoʊʃən
心潮澎湃	phr. be excited|biː ɪkˈsaɪtəd
心潮起伏	phr. heart surging|hɑːrt ˈsɜːrdʒɪŋ
心潮逐浪高	phr. emotions surge high|ˈiːmoʊʃənz sɜːrdʒ haɪ
心火	n. heart fire|hɑːrt ˈfaɪər
心火上炎	phr. heart fire flaring|hɑːrt ˈfaɪər ˈflerɪŋ
心灰意冷	phr. disheartened|dɪsˈhɑːrtənd
心灰意懒	phr. disheartened|dɪsˈhɑːrtənd
心灵	n. soul|soʊl	n. mind|maɪnd
心灵上	adv. spiritually|ˈspɪrɪˌtʃuːəˌli
心灵感应	n. telepathy|təˈlepəθi
心灵手巧	phr. clever and skillful|ˈklevər ænd ˈskɪlfəl
心灵美	n. inner beauty|ˈɪnər ˈbjuːti
心点矛丽鱼	n. Cichlasoma
心烦	adj. annoyed|əˈnɔɪd
心烦意乱	phr. distracted|dɪˈstræktəd	phr. perturbed|pərˈtɜːrbd
心焦	adj. anxious|ˈæŋkʃəs
心焦如焚	phr. burning with anxiety|ˈbɜːrnɪŋ wɪð æŋˈzaɪəti
心照不宣	phr. tacit understanding|ˈtæsɪt ˌəndərˈstændɪŋ
心爱	adj. beloved|bɪˈlʌvd
心爱的人	n. beloved|bɪˈlʌvd	n. darling|ˈdɑːrlɪŋ
心犹豫而狐疑	phr. hesitate and doubt|ˈhezəˌteɪt ænd daʊt
心狠	adj. cruel|ˈkruːəl
心狠手辣	phr. ruthless|ˈruːθləs
心猿意马	phr. restless|ˈrestləs
心率	n. heart rate|hɑːrt reɪt
心理	n. psychology|saɪˈkɑːlədʒi	n. mentality|menˈtæləti
心理上	n. psychologically|ˌsaɪkəˈlɑːdʒɪkli
心理作用	n. psychological effect|ˌsaɪkəˈlɑːdʒɪkəl ˈiːfekt
心理健康	n. mental health|ˈmentəl helθ
心理准备	n. mental preparation|ˈmentəl ˌprepərˈeɪʃən
心理动力学	n. psychodynamics
心理医生	n. psychologist|saɪˈkɑːlədʒəst
心理压力	n. psychological pressure|ˌsaɪkəˈlɑːdʒɪkəl ˈpreʃər
心理学	n. psychology|saɪˈkɑːlədʒi
心理学基础	n. foundations of psychology|faʊnˈdeɪʃənz ʌv saɪˈkɑːlədʒi
心理学家	n. psychologist|saɪˈkɑːlədʒəst
心理战	n. psychological warfare|ˌsaɪkəˈlɑːdʒɪkəl ˈwɔːrˌfer
心理旋转	n. mental rotation|ˈmentəl roʊˈteɪʃən
心理治疗	n. psychotherapy|ˌsaɪkoʊˈθerəpi
心理生理学	n. psychophysiology
心理疗法	n. psychotherapy|ˌsaɪkoʊˈθerəpi
心理的	adj. psychological|ˌsaɪkəˈlɑːdʒɪkəl
心理神经免疫学	n. psychoneuroimmunology
心理科	n. psychology department|saɪˈkɑːlədʒi dɪˈpɑːrtmənt
心理素质	n. mental quality|ˈmentəl ˈkwɑːləti
心理统计学	n. psychological statistics|ˌsaɪkəˈlɑːdʒɪkəl stəˈtɪstɪks
心理能动性	n. psychological initiative|ˌsaɪkəˈlɑːdʒɪkəl ˌɪˈnɪʃətɪv
心理评估	n. psychological assessment|ˌsaɪkəˈlɑːdʒɪkəl əˈsesmənt
心理量表	n. psychological scale|ˌsaɪkəˈlɑːdʒɪkəl skeɪl
心理阴影	n. psychological shadow|ˌsaɪkəˈlɑːdʒɪkəl ˈʃæˌdoʊ
心瓣膜	n. heart valve|hɑːrt vælv
心瓣膜病	n. valvular heart disease
心甘	adj. willing|ˈwɪlɪŋ
心甘情愿	phr. willingly|ˈwɪlɪŋli	phr. gladly|ˈɡlædli
心生	v. feel|fiːl	v. harbor|ˈhɑːrbər
心田	n. heart|hɑːrt
心电	n. electrocardiogram|ˌɪˌlektroʊˈkɑːrdiːəˌɡræm
心电向量图	n. vectorcardiogram
心电图	n. electrocardiogram|ˌɪˌlektroʊˈkɑːrdiːəˌɡræm
心电图异常	n. ECG abnormality
心电图机	n. electrocardiograph
心电监护	n. ECG monitoring
心电监测	n. ECG monitoring
心疼	v. feel sorry|fiːl ˈsɑːri
心疼你们	phr. feel sorry for you|fiːl ˈsɑːri fɔːr juː
心疼啊	phr. feel sorry|fiːl ˈsɑːri
心病	n. worry|ˈwɜːri	n. anxiety|æŋˈzaɪəti
心痒痒	adj. itching|ˈɪtʃɪŋ
心痛	v. heartache|ˈhɑːrˌteɪk
心白夙舟蛾	n. moth|mɔːθ
心目	n. mind's eye|maɪndz aɪ
心目中	n. in one's mind|ɪn wʌnz maɪnd
心直口快	phr. frank and outspoken|fræŋk ænd ˈaʊtˈspoʊkən
心眼	n. intention|ˌɪnˈtentʃən
心眼儿	n. intention|ˌɪnˈtentʃən
心知肚明	phr. know well|noʊ wel
心硬	adj. hard-hearted|hɑːrd ˈhɑːrtəd
心碎	v. heartbroken|ˈhɑːrtˌbroʊkən
心碎了	phr. heartbroken|ˈhɑːrtˌbroʊkən
心磷脂	n. cardiolipin
心神	n. mind|maɪnd
心神不宁	phr. restless|ˈrestləs
心神不定	adj. restless|ˈrestləs
心神恍惚	adj. absent-minded|ˈæbsənt ˈmaɪndəd
心窍	n. heart orifice|hɑːrt ˈɔːrəfəs
心窝	n. chest|tʃest	n. heart|hɑːrt
心算	n. mental arithmetic|ˈmentəl ˌerɪθˈmetɪk
心管水母	n. heart-tube jellyfish|hɑːrt tjuːb ˈdʒeliːˌfɪʃ
心累	adj. emotionally exhausted|ˈiːˌmoʊʃnəli ɪɡˈzɔːstɪd
心累了	phr. heart is tired|hɑːrt ɪz ˈtaɪərd
心细	adj. careful|ˈkerfəl	adj. meticulous|məˈtɪkjələs
心细如发	phr. meticulous|məˈtɪkjələs
心结	n. complex|ˈkɑːmpleks
心绞痛	n. angina pectoris|ænˈdʒaɪnə ˈpektərɪs
心绪	n. state of mind|steɪt ʌv maɪnd
心肌	n. myocardium|ˌmaɪəˈkɑːrdiːəm
心肌劳损	n. myocardial strain|ˌmaɪəˈkɑːrdiːəl streɪn
心肌抑制因子	n. myocardial depressant factor|ˌmaɪəˈkɑːrdiːəl dɪˈpresənt ˈfæktər
心肌挫伤	n. myocardial contusion|ˌmaɪəˈkɑːrdiːəl kənˈtuːʒən
心肌梗死	n. myocardial infarction|ˌmaɪəˈkɑːrdiːəl ˌɪnˈfɑːrkʃən
心肌炎	n. myocarditis
心肌炎后遗症	n. sequelae of myocarditis
心肌病	n. cardiomyopathy
心肌纤维化	n. myocardial fibrosis|ˌmaɪəˈkɑːrdiːəl faɪˈbroʊsəs
心肌缺血	n. myocardial ischemia|ˌmaɪəˈkɑːrdiːəl ˌɪsˈkeˌmiːə
心肌肌钙蛋白	n. cardiac troponin
心肌肥大	n. cardiac hypertrophy|ˈkɑːrdiːˌæk ˈhaɪpərˌtroʊfi
心肌衰竭	n. heart failure|hɑːrt ˈfeɪljər
心肌酶谱	n. cardiac enzyme profile|ˈkɑːrdiːˌæk ˈenˌzaɪm ˈproʊˌfaɪl
心肝	n. darling|ˈdɑːrlɪŋ
心肠	n. heart|hɑːrt	n. intention|ˌɪnˈtentʃən
心肺功能	n. cardiopulmonary function|ˌkɑːrdiːoʊˈpʊlməˌneri ˈfʌŋkʃən
心肺复苏	n. CPR
心肺复苏术	n. CPR
心肺脑复苏	n. cardiopulmonary cerebral resuscitation|ˌkɑːrdiːoʊˈpʊlməˌneri ˈserəbrəl rɪˌsəsɪˈteɪʃən
心肾不交	phr. heart-kidney disharmony|hɑːrt ˈkɪdni dɪsˈhɑːrməni
心肾不交证	n. heart-kidney disharmony syndrome|hɑːrt ˈkɪdni dɪsˈhɑːrməni ˈsɪnˌdroʊm
心胆俱裂	phr. terrified|ˈterəˌfaɪd
心胸	n. mind|maɪnd	n. heart|hɑːrt
心脉隆注射液	n. Xinmailong injection
心脏	n. heart|hɑːrt
心脏传导阻滞	n. heart block|hɑːrt blɑːk
心脏停搏	n. cardiac arrest|ˈkɑːrdiːˌæk ərˈest
心脏恶性肿瘤	n. cardiac malignant tumor|ˈkɑːrdiːˌæk məˈlɪɡnənt ˈtuːmər
心脏扩大	n. cardiomegaly
心脏损伤	n. cardiac injury|ˈkɑːrdiːˌæk ˈɪndʒəri
心脏杂音	n. heart murmur|hɑːrt ˈmɜːrmər
心脏瓣膜病	n. valvular heart disease
心脏病	n. heart disease|hɑːrt dɪˈziːz
心脏病发	v. have a heart attack|hæv eɪ hɑːrt əˈtæk
心脏破裂	n. cardiac rupture|ˈkɑːrdiːˌæk ˈrʌptʃər
心脏神经官能症	n. cardiac neurosis|ˈkɑːrdiːˌæk nʊˈroʊsəs
心脏移植	n. heart transplant|hɑːrt trænsˈplænt
心脏移植术	n. heart transplantation|hɑːrt ˌtrænzplænˈteɪʃən
心脏粘液瘤	n. cardiac myxoma
心脏肥大	n. cardiac hypertrophy|ˈkɑːrdiːˌæk ˈhaɪpərˌtroʊfi
心脏肿瘤	n. heart tumor|hɑːrt ˈtuːmər
心脏衰竭	n. heart failure|hɑːrt ˈfeɪljər
心脑健胶囊	n. Xinnaojian capsule
心脑康	n. Xinnaokang
心脑康胶囊	n. Xinnaokang capsule
心脑欣胶囊	n. Xinnaoxin capsule
心脑清软胶囊	n. Xinnaoqing soft capsule
心脑血管	n. cardiovascular and cerebrovascular
心脑血管疾病	n. cardiovascular disease|ˌkɑːrdiːoʊˈvæskjələr dɪˈziːz
心腹	n. trusted follower|ˈtrʌstɪd ˈfɑːloʊər
心腹之患	phr. serious hidden trouble|ˈsɪriːəs ˈhɪdən ˈtrʌbəl
心腹大患	n. serious hidden trouble|ˈsɪriːəs ˈhɪdən ˈtrʌbəl
心舒胶囊	n. Xinshu capsule
心花怒放	phr. overjoyed|ˌoʊvərˈdʒɔɪd
心虚	adj. guilty|ˈɡɪlti	adj. uneasy|əˈniːzi
心虚胆怯	phr. timid and fearful|ˈtɪmɪd ænd ˈfɪrfəl
心蛤科	n. Cardiidae
心血	n. effort|ˈefərt
心血不足	n. insufficiency of heart blood|ˌɪnsəˈfɪʃənˌsi ʌv hɑːrt blʌd
心血来潮	phr. on a whim|ɑːn eɪ hwɪm
心血瘀阻	n. blood stasis in heart
心血管	n. cardiovascular|ˌkɑːrdiːoʊˈvæskjələr
心血管中枢	n. cardiovascular center|ˌkɑːrdiːoʊˈvæskjələr ˈsenər
心血管内科	n. cardiovascular medicine|ˌkɑːrdiːoʊˈvæskjələr ˈmedəsən
心血管梅毒	n. cardiovascular syphilis|ˌkɑːrdiːoʊˈvæskjələr ˈsɪfəlɪs
心血管病学	n. cardiology|ˌkɑːrdiːˈɑːlədʒi
心血管系统	n. cardiovascular system|ˌkɑːrdiːoʊˈvæskjələr ˈsɪstəm
心血管造影	n. angiocardiography
心衰	n. heart failure|hɑːrt ˈfeɪljər
心衰病	n. heart failure disease|hɑːrt ˈfeɪljər dɪˈziːz
心裁	n. idea|aɪˈdiːə	n. design|dɪˈzaɪn
心裂	adj. heartbroken|ˈhɑːrtˌbroʊkən
心裂肺	adj. heartbroken|ˈhɑːrtˌbroʊkən
心要正	phr. heart must be upright|hɑːrt mʌst biː ˈʌˌpraɪt
心计	n. scheme|skiːm	n. calculation|ˌkælkjəˈleɪʃən
心诚	adj. sincere|sɪnˈsɪr
心语	n. heartfelt words|ˈhɑːrtˌfelt wɜːrdz
心路	n. mind|maɪnd
心路历程	n. mental journey|ˈmentəl ˈdʒɜːrni
心跳	n. heartbeat|ˈhɑːrtˌbiːt
心跳加速	phr. heart racing|hɑːrt ˈreɪsɪŋ
心跳包	n. heartbeat packet|ˈhɑːrtˌbiːt ˈpækət
心身医学	n. psychosomatic medicine|saɪˌkoʊsəˈmætɪk ˈmedəsən
心身疾病	n. psychosomatic disease|saɪˌkoʊsəˈmætɪk dɪˈziːz
心软	adj. soft-hearted|sɑːft ˈhɑːrtəd
心输出量	n. cardiac output|ˈkɑːrdiːˌæk ˈaʊtˌpʊt
心达康片	n. Xindakang tablet
心连心	phr. heart to heart|hɑːrt tuː hɑːrt
心迹	n. true intentions|truː ˌɪnˈtentʃənz
心速宁胶囊	n. Xinsuning capsule
心都	n. heart|hɑːrt
心都碎了	phr. heartbroken|ˈhɑːrtˌbroʊkən
心酸	adj. sad|sæd
心醉	v. be enchanted|biː enˈtʃænɪd
心醉神迷	phr. enchanted|enˈtʃænɪd
心里	n. heart|hɑːrt	n. mind|maɪnd
心里有点	phr. feel a bit|fiːl eɪ bɪt
心里没数	phr. have no idea|hæv noʊ aɪˈdiːə
心里的	phr. in one's heart|ɪn wʌnz hɑːrt
心里苦	adj. bitter|ˈbɪtər
心里话	n. inner thoughts|ˈɪnər θɔːts
心里踏实	phr. feel at ease|fiːl æt iːz
心里难受	phr. feel bad|fiːl bæd
心里面	n. in heart|ɪn hɑːrt
心里默默	phr. silently in heart|ˈsaɪləntli ɪn hɑːrt
心重	adj. sensitive|ˈsensətɪv	adj. worried|ˈwɜːriːd
心间	n. heart|hɑːrt	n. mind|maɪnd
心间隔	n. cardiac septum
心随雁飞灭	phr. heart flies with geese|hɑːrt flaɪz wɪð ɡiːs
心静	adj. calm|kɑːlm
心音	n. heart sound|hɑːrt saʊnd
心音图	n. phonocardiogram
心颅跳鼠亚科	n. subfamily Cardiocraniinae
心领	v. understand|ˌəndərˈstænd	v. appreciate|əˈpriːʃiːˌeɪt
心领神会	v. understand tacitly|ˌəndərˈstænd ˈtæsɪtli
心飞扬兮浩荡	phr. heart soars vast|hɑːrt sɔːrz væst
心驰神往	phr. yearn for|jɜːrn fɔːr
心高气傲	phr. proud and arrogant|praʊd ænd ˈerəɡənt
心魄	n. soul|soʊl	n. spirit|ˈspɪrət
心黑	adj. black-hearted|blæk ˈhɑːrtəd	adj. evil|ˈiːvəl
必	adv. certainly|ˈsɜːrtənli
必不可少	adj. essential|eˈsenʃəl
必不得已而去	phr. if must remove|ɪf mʌst riːˈmuːv
必也使无讼乎	phr. must make lawsuits disappear|mʌst meɪk ˈlɔːˌsuːts ˌdɪsəˈpiːr
必也正名乎	phr. must rectify names|mʌst ˈrektəˌfaɪ neɪmz
必争之地	phr. contested place|kənˈtestəd pleɪs
必以言下之	phr. humble oneself in words|ˈhʌmbəl ˌwənˈself ɪn wɜːrdz
必以身后之	phr. put oneself last|pʊt ˌwənˈself læs
必修	n. required course|riːˈkwaɪərd kɔːrs
必修课	n. required course|riːˈkwaɪərd kɔːrs
必先利其器	phr. sharpen one's tools first|ˈʃɑːrpən wʌnz tuːlz fɜːrst
必发	v. must issue|mʌst ˈɪʃuː
必吃	phr. must-eat|mʌst iːt
必嗽平	n. Bisolvon
必回	v. will reply|wɪl riːˈplaɪ
必固其根本	phr. must secure its root|mʌst sɪkˈjʊr ɪts ruːt
必备	adj. essential|eˈsenʃəl	adj. necessary|ˈnesəˌseri
必定	adv. certainly|ˈsɜːrtənli
必将	adv. will certainly|wɪl ˈsɜːrtənli
必应	n. Bing|bɪŋ
必应搜索引擎	n. Bing search engine|bɪŋ sɜːrtʃ ˈendʒən
必得	v. must get|mʌst ɡet
必慢其经界	phr. must neglect its boundaries|mʌst nəˈɡlekt ɪts ˈbaʊndəriːz
必有	v. must have|mʌst hæv
必有一失	phr. must have one loss|mʌst hæv wʌn lɔːs
必有回响	phr. will echo|wɪl ˈekoʊ
必有近忧	phr. must have near worry|mʌst hæv nɪr ˈwɜːri
必杀	n. certain kill|ˈsɜːrtən kɪl
必杀技	n. special move|ˈspeʃəl muːv
必比登	n. Bibendum
必浚其泉源	phr. must dredge its source|mʌst dredʒ ɪts sɔːrs
必火	adj. sure to be popular|ʃʊr tuː biː ˈpɑːpjələr
必然	adj. inevitable|ˌɪˈnevətəbəl
必然会	adv. inevitably|ˌɪˈnevətəbli
必然性	n. necessity|nəˈsesəti
必然是	adv. necessarily|ˌnesəˈserəli
必理通	n. Panadol
必由之路	n. only way|ˈoʊnli weɪ
必看	adj. must-see|mʌst siː
必经	adj. must pass|mʌst pæs
必经之路	phr. only way|ˈoʊnli weɪ
必胜	v. must win|mʌst wɪn
必胜客	n. Pizza Hut|ˈpiːtsə hʌt
必能裨补阙漏	phr. make up for shortcomings|meɪk ʌp fɔːr ˈʃɔːrtˌkəmɪŋz
必若救疮痍	phr. must heal the wounds|mʌst hiːl ðʌ wuːndz
必要	adj. necessary|ˈnesəˌseri
必要共同诉讼人	n. necessary joint litigant|ˈnesəˌseri dʒɔɪnt ˈlɪtɪɡənt
必要共同诉讼制度	n. necessary joint litigation system|ˈnesəˌseri dʒɔɪnt ˌlɪtəˈɡeɪʃən ˈsɪstəm
必要性	n. necessity|nəˈsesəti
必要技术特征	n. essential technical features|eˈsenʃəl ˈteknɪkəl ˈfiːtʃərz
必要时	phr. if necessary|ɪf ˈnesəˌseri
必要条件	n. necessary condition|ˈnesəˌseri kənˈdɪʃən
必要的	adj. necessary|ˈnesəˌseri
必过	v. must pass|mʌst pæs
必连	v. must connect|mʌst kəˈnekt
必需	v. need|niːd
必需品	n. necessity|nəˈsesəti
必需的	adj. essential|eˈsenʃəl	adj. necessary|ˈnesəˌseri
必需脂肪酸	n. essential fatty acid|eˈsenʃəl ˈfæti ˈæsəd
必须	v. must|mʌst	v. have to|hæv tuː
必须先	phr. must first|mʌst fɜːrst
必须吃	v. must eat|mʌst iːt
必须得	phr. must|mʌst	phr. have to|hæv tuː
必须有	v. must have|mʌst hæv
必须的	phr. must|mʌst
必须的啊	phr. of course|ʌv kɔːrs
必须的嘛	phr. of course|ʌv kɔːrs
必须的必	phr. definitely|ˈdefənətli
必须进行斗争	phr. must struggle|mʌst ˈstrʌɡəl
忆	v. recall|ˈriːˌkɔːl
忆往昔峥嵘岁月稠	phr. recalling eventful years|rɪˈkɔːlɪŋ iːˈventfəl jɪrz
忆我少壮时	phr. remember my youth|riːˈmembər maɪ juːθ
忆昔洛阳董糟丘	phr. recall old Luoyang
忆述	v. recount|ˌriːˈkaʊnt
忉	adj. sorrowful|ˈsɑːroʊfəl
忌	v. avoid|əˈvɔɪd	v. abstain|æbˈsteɪn
忌口	v. avoid certain food|əˈvɔɪd ˈsɜːrtən fuːd
忌嘴	v. avoid certain food|əˈvɔɪd ˈsɜːrtən fuːd
忌妒	v. envy|ˈenvi
忌廉汤	n. cream soup|kriːm suːp
忌恨	v. resent|riːˈzent	v. hate|heɪt
忌日	n. anniversary of death|ˌænəˈvɜːrsəri ʌv deθ
忌讳	v. taboo|tæˈbuː	v. avoid|əˈvɔɪd
忌辰	n. death anniversary|deθ ˌænəˈvɜːrsəri
忌野清志郎	n. Kiyoshiro Imawano
忌食	v. avoid eating|əˈvɔɪd ˈiːtɪŋ
忍	v. endure|enˈdjʊr
忍一忍	phr. bear it|ber ɪt
忍不	phr. can't help|kænt help
忍不了	phr. can't stand|kænt stænd
忍不了了	phr. can't stand it|kænt stænd ɪt
忍不住	v. cannot help|ˈkænɑːt help
忍不住了	v. can't help|kænt help	v. can't bear|kænt ber
忍不住想	phr. can't help thinking|kænt help ˈθɪŋkɪŋ
忍不住要	phr. can't help but|kænt help bʌt
忍了	v. endured|enˈdjʊrd
忍住	v. hold back|hoʊld bæk
忍住了	v. held back|held bæk
忍俊不禁	phr. can't help laughing|kænt help ˈlæfɪŋ
忍冬	n. honeysuckle|ˈhʌniːˌsəkəl
忍冬双斜卷蛾	n. honeysuckle leafroller
忍冬感冒颗粒	n. honeysuckle cold granules|ˈhʌniːˌsəkəl koʊld ˈɡrænjəlz
忍冬藤	n. honeysuckle stem|ˈhʌniːˌsəkəl stem
忍受	v. endure|enˈdjʊr	v. bear|ber
忍心	v. bear to|ber tuː
忍忍	v. endure|enˈdjʊr
忍术	n. ninjutsu
忍气吞声	phr. swallow one's anger|ˈswɑːloʊ wʌnz ˈæŋɡər
忍痛	v. endure pain|enˈdjʊr peɪn
忍着	v. endure|enˈdjʊr
忍者	n. ninja|ˈnɪndʒə
忍耐	v. endure|enˈdjʊr	v. bear|ber
忍能对面为盗贼	phr. endure facing thieves|enˈdjʊr ˈfeɪsɪŋ θiːvz
忍让	v. yield|jiːld	v. be tolerant|biː ˈtɑːlərənt
忍辱	v. endure humiliation|enˈdjʊr hjuːˌmɪliːˈeɪʃən
忍辱偷生	phr. endure humiliation to live|enˈdjʊr hjuːˌmɪliːˈeɪʃən tuː laɪv
忍辱负重	phr. endure humiliation|enˈdjʊr hjuːˌmɪliːˈeɪʃən
忍饥挨饿	phr. suffer hunger|ˈsʌfər ˈhʌŋɡər
忏	v. repent|rɪˈpent
忏悔	v. repent|rɪˈpent
忐	adj. anxious|ˈæŋkʃəs
忐忑	adj. anxious|ˈæŋkʃəs	adj. uneasy|əˈniːzi
忐忑不安	phr. anxious|ˈæŋkʃəs
忑	adj. uneasy|əˈniːzi
忒	adv. too|tuː	adv. very|ˈveri
忖	v. ponder|ˈpɑːndər
忖度	v. surmise|sərˈmaɪz	v. conjecture|kənˈdʒekʃər
忖量	v. ponder|ˈpɑːndər
志	n. will|wɪl	n. aspiration|ˌæspərˈeɪʃən
志丹	n. Zhidan
志丹路	n. Zhidan Road
志义	n. aspiration and righteousness|ˌæspərˈeɪʃən ænd ˈraɪtʃəsnəs
志伟	n. Zhiwei
志刚	n. Zhigang
志勇	n. Zhiyong
志南	n. Zhinan
志同道合	phr. like-minded|laɪk ˈmaɪndəd
志向	n. aspiration|ˌæspərˈeɪʃən
志和	n. Zhihe
志哀	v. mourn|mɔːrn
志在四方	phr. ambitious|æmˈbɪʃəs
志坚	adj. firm|fɜːrm
志士	n. person of ideals|ˈpɜːrsən ʌv aɪˈdiːlz
志士多苦心	phr. aspirants have much care|ˈæspərəns hæv mʌtʃ ker
志士惜日短	phr. aspirant cherishes short days|ˈæspərənt ˈtʃerɪʃɪz ʃɔːrt deɪz
志大才疏	phr. ambitious but incompetent|æmˈbɪʃəs bʌt ˌɪnˈkɑːmpətənt
志工	n. volunteer|ˌvɑːlənˈtɪr
志强	n. Zhiqiang
志得意满	phr. proud and satisfied|praʊd ænd ˈsætəsˌfaɪd
志愿	n. volunteer|ˌvɑːlənˈtɪr	n. aspiration|ˌæspərˈeɪʃən
志愿书	n. application form|ˌæpləˈkeɪʃən fɔːrm
志愿兵	n. volunteer soldier|ˌvɑːlənˈtɪr ˈsoʊldʒər
志愿兵役制	n. voluntary military service|ˈvɑːlənteri ˈmɪləˌteri ˈsɜːrvəs
志愿军	n. volunteer army|ˌvɑːlənˈtɪr ˈɑːrmi
志愿者	n. volunteer|ˌvɑːlənˈtɪr
志愿者协议	n. volunteer agreement|ˌvɑːlənˈtɪr əˈɡriːmənt
志成路	n. Zhicheng Road
志成道	n. Zhicheng Road
志摩	n. Shima|ˈʃiːmə
志文	n. Zhiwen
志新	n. Zhixin
志新北里	n. Zhixin Beili
志新桥北	n. Zhixin Bridge North
志新桥南	n. Zhixin Bridge South
志新桥西	n. Zhixin Bridge West
志新路	n. Zhixin Road
志明	n. Zhiming
志木村	n. Shiki Village
志村	n. Shimura
志气	n. ambition|æmˈbɪʃən
志浩	n. Zhihao
志田	n. Shida
志田未来	n. Mirai Shida
志留纪	n. Silurian
志翔	n. Zhixiang
志豪	n. Zhihao
志贺氏菌	n. Shigella
志贺直哉	n. Shiga Naoya
志贺菌属	n. Shigella
志贺菌病	n. shigellosis
志趣	n. aspiration|ˌæspərˈeɪʃən
志远	adj. ambitious|æmˈbɪʃəs
志远庄村	n. Zhiyuanzhuang Village
志锐	n. Zhirui
志隧蜂	n. Andrena
志龙	n. Zhilong
忘	v. forget|fərˈɡet
忘不了	v. cannot forget|ˈkænɑːt fərˈɡet
忘不掉	v. cannot forget|ˈkænɑːt fərˈɡet
忘乎所以	phr. beside oneself|ˌbiːˈsaɪd ˌwənˈself
忘了	v. forgot|fərˈɡɑːt
忘了你	v. forget you|fərˈɡet juː
忘了吃	phr. forgot to eat|fərˈɡɑːt tuː iːt
忘了吧	v. forget it|fərˈɡet ɪt
忘了我	phr. forget me|fərˈɡet miː
忘了自己	phr. forget oneself|fərˈɡet ˌwənˈself
忘了说	phr. forgot to mention|fərˈɡɑːt tuː ˈmenʃən
忘了除非醉	phr. forget unless drunk|fərˈɡet ənˈles drʌŋk
忘初	v. forget the beginning|fərˈɡet ðʌ bɪˈɡɪnɪŋ
忘初心	phr. forget original intention|fərˈɡet ərˈɪdʒənəl ˌɪnˈtentʃən
忘却	v. forget|fərˈɡet
忘啦	v. forgot|fərˈɡɑːt
忘带	v. forget to bring|fərˈɡet tuː brɪŋ
忘年之交	phr. friendship despite age difference|ˈfrendʃɪp dɪˈspaɪt eɪdʒ ˈdɪfərəns
忘年交	n. friendship across ages|ˈfrendʃɪp əˈkrɔːs ˈeɪdʒəz
忘形	v. be beside oneself|biː ˌbiːˈsaɪd ˌwənˈself
忘怀	v. forget|fərˈɡet
忘性	n. forgetfulness
忘恩负义	phr. ungrateful|ənˈɡreɪtfəl
忘情	v. forget feelings|fərˈɡet ˈfiːlɪŋz
忘我	adj. selfless|ˈselfləs	adj. ecstatic|ekˈstætɪk
忘掉	v. forget|fərˈɡet
忘本	v. forget one's roots|fərˈɡet wʌnz ruːts
忘私	v. forget self|fərˈɡet self
忘记	v. forget|fərˈɡet
忘记了	v. forgot|fərˈɡɑːt
忘记他	v. forget him|fərˈɡet hɪm
忘记你	phr. forget you|fərˈɡet juː
忘记密码	phr. forgot password|fərˈɡɑːt ˈpæsˌwərd
忘记我	phr. forget me|fərˈɡet miː
忘词	v. forget lines|fərˈɡet laɪnz
忙	adj. busy|ˈbɪzi
忙不忙	phr. busy or not|ˈbɪzi ɔːr nɑːt
忙不过来	v. too busy|tuː ˈbɪzi
忙不迭	adj. in a hurry|ɪn eɪ ˈhɜːri
忙中出错	phr. errors in haste|ˈerərz ɪn heɪst
忙乎	v. busy|ˈbɪzi
忙乱	adj. busy and disorderly|ˈbɪzi ænd dɪˈsɔːrdərli
忙了	v. busy|ˈbɪzi
忙了一天	phr. busy all day|ˈbɪzi ɔːl deɪ
忙于	v. be busy with|biː ˈbɪzi wɪð
忙人	n. busy person|ˈbɪzi ˈpɜːrsən
忙什么	phr. what's up|hwʌts ʌp
忙什么呢	phr. what's up|hwʌts ʌp
忙到	v. busy until|ˈbɪzi ənˈtɪl
忙呀	phr. busy indeed|ˈbɪzi ˌɪnˈdiːd
忙呢	phr. busy|ˈbɪzi
忙啊	phr. busy|ˈbɪzi
忙啥呢	phr. what busy with|hwʌt ˈbɪzi wɪð
